folder_name,seed,max_steps,game,final_global_step,final_expl0,final_expl1,final_avg_exploitability,algorithm_name_config,alpha_config,anneal_lr_config,beta_config,clip_coef_config,clip_vloss_config,cuda_config,ent_coef_config,epsilon_dead_tol_config,epsilon_decay_fraction_config,epsilon_end_config,epsilon_start_config,eval_every_config,gae_config,gae_lambda_config,gamma_config,iem_lr_config,learning_rate_config,max_grad_norm_config,norm_adv_config,num_envs_config,num_minibatches_config,num_steps_config,target_kl_config,tsallis_q_config,update_epochs_config,vf_coef_config
2026-03-31_17-09-24-409696_e764c7,3,10000000,classical_phantom_ttt,10002432.0,0.5820324102444864,0.3754220897013315,0.47872724997290894,iem_e_ppo,0.4,True,1.0,0.4,True,True,0.25,0.1,0.99,0.15,0.25,100,True,0.95,0.99,0.001,0.002,3.0,True,24,8,512,,2.0,1,0.0625
2026-03-31_23-11-03-246327_bf733d,3,10000000,classical_phantom_ttt,10002432.0,0.8484478958212208,0.665845800327736,0.7571468480744784,iem_e_ppo,0.4,True,1.0,0.4,True,True,0.25,0.1,0.9,0.2,0.3,100,True,0.95,0.99,0.001,0.002,3.0,True,24,8,512,,2.0,1,0.0625
2026-03-31_23-55-35-851140_16f01b,3,10000000,classical_phantom_ttt,10002432.0,0.9955175336945316,0.6354524912861665,0.815485012490349,iem_e_ppo,0.4,True,1.0,0.5,True,True,0.25,0.1,0.9,0.2,0.3,100,True,0.95,0.99,0.001,0.002,3.0,True,24,8,512,,2.0,1,0.0625
2026-04-01_00-28-07-269957_25a691,3,10000000,classical_phantom_ttt,10002432.0,0.6366330606762138,0.5721857022019787,0.6044093814390963,iem_e_ppo,0.4,True,1.0,0.4,True,True,0.25,0.1,0.9,0.2,0.3,100,True,0.95,0.99,0.001,0.002,4.0,True,24,8,512,,2.0,1,0.0625
2026-04-01_01-00-46-210580_a37c4d,3,10000000,classical_phantom_ttt,10002432.0,0.4349099224281817,0.5850457225889507,0.5099778225085663,iem_e_ppo,0.4,True,1.0,0.4,True,True,0.25,0.1,0.9,0.2,0.3,100,True,0.95,0.99,0.001,0.001,3.0,True,24,8,512,,2.0,1,0.0625
2026-04-01_01-32-56-662596_7028f8,3,10000000,classical_phantom_ttt,10002432.0,0.8229976414295685,0.5761987286648853,0.6995981850472269,iem_e_ppo,0.4,True,1.0,0.4,True,True,0.25,0.15,0.9,0.2,0.3,100,True,0.95,0.99,0.001,0.002,3.0,True,24,8,512,,2.0,1,0.0625
2026-04-01_02-06-19-259988_c5ac51,3,10000000,classical_phantom_ttt,10002432.0,1.0967291021467624,0.4305040242676342,0.7636165632071983,iem_e_ppo,0.4,True,1.0,0.4,True,True,0.25,0.1,0.9,0.25,0.35,100,True,0.95,0.99,0.001,0.002,3.0,True,24,8,512,,2.0,1,0.0625
2026-04-01_02-38-41-248637_fe9be9,3,10000000,classical_phantom_ttt,10002432.0,0.8203087403102165,0.5868903109587991,0.7035995256345078,iem_e_ppo,0.4,True,1.0,0.4,True,True,0.25,0.1,0.9,0.2,0.3,100,True,0.95,0.99,0.001,0.002,3.0,True,12,8,512,,2.0,1,0.0625
2026-04-01_03-24-29-357028_e6683f,3,10000000,classical_phantom_ttt,10002432.0,0.4476119123535296,0.3996700009528944,0.423640956653212,iem_e_ppo,0.4,True,1.0,0.4,True,True,0.25,0.1,0.99,0.2,0.3,100,True,0.95,0.99,0.001,0.002,3.0,True,24,8,512,,2.0,1,0.0625
2026-04-01_03-57-32-403694_cb2f75,3,10000000,classical_phantom_ttt,10002432.0,0.5190575480296182,0.5836197773383539,0.551338662683986,iem_e_ppo,0.4,True,1.0,0.4,True,True,0.25,0.1,0.99,0.2,0.3,100,True,0.95,0.99,0.001,0.002,3.0,True,24,8,512,,2.0,1,0.125
2026-04-01_04-30-36-959292_bd0637,3,10000000,classical_phantom_ttt,10002432.0,0.490344918540949,0.4490025803581916,0.4696737494495703,iem_e_ppo,0.4,True,1.0,0.4,True,True,0.25,0.1,0.99,0.2,0.3,100,True,0.9,0.99,0.001,0.002,3.0,True,24,8,512,,2.0,1,0.0625
2026-04-01_05-04-39-156834_653c34,3,10000000,classical_phantom_ttt,10002432.0,0.4127472192582801,0.426699788735422,0.4197235039968511,iem_e_ppo,0.4,True,1.0,0.5,True,True,0.25,0.1,0.99,0.2,0.3,100,True,0.95,0.99,0.001,0.002,3.0,True,24,8,512,,2.0,1,0.0625
2026-04-01_13-47-52-492505_e3c1e4,3,10000000,classical_phantom_ttt,10002432.0,0.8110037917091084,0.6911595165372444,0.7510816541231764,iem_e_ppo,0.4,True,1.0,0.6,True,True,0.25,0.1,0.99,0.2,0.3,100,True,0.95,0.99,0.001,0.002,3.0,True,24,8,512,,2.0,1,0.0625
2026-04-01_14-21-18-114459_1912c7,3,10000000,classical_phantom_ttt,10002432.0,0.4755121386283971,0.5205773478032478,0.4980447432158225,iem_e_ppo,0.4,True,1.0,0.5,True,True,0.25,0.01,0.99,0.2,0.3,100,True,0.95,0.99,0.001,0.002,3.0,True,24,8,512,,2.0,1,0.0625
2026-04-01_18-11-43-806517_4cc197,3,10000000,classical_phantom_ttt,10002432.0,1.0024578006045526,0.5813184550012371,0.7918881278028949,iem_e_ppo,0.4,True,1.0,0.5,True,True,0.25,0.1,0.99,0.3,0.4,100,True,0.95,0.99,0.001,0.002,3.0,True,24,8,512,,2.0,1,0.0625
2026-04-01_19-48-31-882686_463a62,3,10000000,classical_phantom_ttt,10002432.0,0.9729027668753788,0.3376474559408984,0.6552751114081385,iem_e_ppo,0.6,True,1.0,0.5,True,True,0.25,0.1,0.99,0.2,0.3,100,True,0.95,0.99,0.001,0.002,3.0,True,24,8,512,,2.0,1,0.0625
2026-04-02_00-52-24-974441_5ec32f,3,10000000,classical_phantom_ttt,10002432.0,0.6688646879877742,0.4257667528910179,0.547315720439396,iem_e_ppo,0.4,True,1.0,0.5,True,True,0.25,0.1,0.99,0.2,0.3,100,True,0.95,0.99,0.01,0.002,3.0,True,24,8,512,,2.0,1,0.0625
2026-04-02_01-34-15-388603_1b5270,3,10000000,classical_phantom_ttt,10002432.0,0.40989484592615,0.494502158045189,0.45219850198566947,iem_e_ppo,0.4,True,1.0,0.5,True,True,0.25,0.1,0.99,0.2,0.3,100,True,0.95,0.99,0.001,0.002,3.0,True,24,2,512,,2.0,1,0.0625
