folder_name,seed,max_steps,game,final_global_step,final_expl0,final_expl1,final_avg_exploitability,algorithm_name_config,alpha_config,anneal_lr_config,beta_config,clip_coef_config,clip_vloss_config,cuda_config,ent_coef_config,eval_every_config,gae_config,gae_lambda_config,gamma_config,iem_lr_config,learning_rate_config,max_grad_norm_config,norm_adv_config,num_envs_config,num_minibatches_config,num_steps_config,policy_head_config,target_kl_config,tsallis_q_config,update_epochs_config,vf_coef_config
2026-02-20_23-25-56-858289_3d38df_seed1_iem,1,3000000,classical_phantom_ttt,3000320.0,0.1934065206392351,0.1605475190286089,0.176977019833922,iem_ppo,0.6,True,10.0,0.1,True,False,0.2,10,True,0.95,0.99,0.00025,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-21_16-06-57-789331_7b9bdc,0,3000000,classical_phantom_ttt,3000320.0,0.2420303191703568,0.1396220759150142,0.19082619754268548,iem_ppo,0.6,True,0.0,0.1,True,False,0.2,10,True,0.95,0.99,0.00025,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-22_13-37-42-010827_55bef1_seed0_withIEM_sameexplorationastsallis,0,3000000,classical_phantom_ttt,3000320.0,0.2822335371000413,0.1429165858705907,0.212575061485316,iem_ppo,0.6,True,10.0,0.1,True,False,0.2,10,True,0.95,0.99,0.00025,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-22_17-16-42-757641_63ced0,0,3000000,classical_phantom_ttt,3000320.0,0.3171123313850919,0.1551177632758158,0.23611504733045385,iem_ppo,0.6,True,20.0,0.1,True,False,0.2,10,True,0.95,0.99,0.00025,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-22_23-28-55-760625_ddd58d,0,3000000,classical_phantom_ttt,3000320.0,0.3230326853053074,0.1830493379421571,0.25304101162373227,iem_ppo,0.7,True,20.0,0.1,True,False,0.2,10,True,0.95,0.99,0.00025,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-23_08-47-46-403148_fb46f9,0,3000000,classical_phantom_ttt,3000320.0,0.5536824228428779,0.3374704552912148,0.44557643906704636,iem_ppo,0.8,True,50.0,0.1,True,False,0.2,10,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-23_11-04-41-517078_91012f,0,3000000,classical_phantom_ttt,3000320.0,0.3230024234846339,0.2570074855902151,0.2900049545374245,iem_ppo,0.8,True,50.0,0.1,True,False,0.2,10,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-23_12-29-07-351180_2e53a4,0,3000000,classical_phantom_ttt,3000320.0,0.3230024234846339,0.2570074855902151,0.2900049545374245,iem_ppo,0.8,True,50.0,0.1,True,False,0.2,10,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-23_13-53-24-345930_af7838,0,3000000,classical_phantom_ttt,3000320.0,0.1856894567221925,0.1538723305649769,0.1697808936435847,iem_ppo,0.7,True,10.0,0.1,True,False,0.2,10,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-24_09-21-34-277238_ea1904_seed4_bad_0.7alpha,4,3000000,classical_phantom_ttt,3000320.0,0.2987269483251606,0.1929255816904409,0.24582626500780075,iem_ppo,0.7,True,10.0,0.1,True,False,0.2,10,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-24_15-49-21-745399_17283f,4,3000000,classical_phantom_ttt,3000320.0,0.2653914544617467,0.1695101322483291,0.21745079335503792,iem_ppo,0.8,True,10.0,0.1,True,False,0.2,10,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-24_19-49-29-583277_f0de5f_seed4_decent_0.7alpha,4,3000000,classical_phantom_ttt,3000320.0,0.1920210337088076,0.163074356438519,0.1775476950736633,iem_ppo,0.7,True,5.0,0.1,True,False,0.2,10,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-24_23-43-21-770499_93d3c0,5,3000000,classical_phantom_ttt,3000320.0,0.2415737288772108,0.1808901374744739,0.21123193317584235,iem_ppo,0.7,True,5.0,0.1,True,False,0.2,10,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-25_12-15-22-766380_4bbbc7_seed5_good_tsallis,5,3000000,classical_phantom_ttt,3000320.0,0.1835360751128081,0.1221393707682299,0.152837722940519,iem_ppo,0.7,True,1.0,0.1,True,True,0.2,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-25_12-32-48-887369_d48006_seed4_good_tsallis,4,3000000,classical_phantom_ttt,3000320.0,0.2071976929946402,0.1359517500132419,0.17157472150394104,iem_ppo,0.7,True,1.0,0.1,True,True,0.2,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-25_12-49-16-475647_bc9da2_seed6_good_tsallis,6,3000000,classical_phantom_ttt,3000320.0,0.2064384416861672,0.1679103190125582,0.1871743803493627,iem_ppo,0.7,True,1.0,0.1,True,True,0.2,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-25_20-49-51-264327_b7009d,4,3000000,classical_phantom_ttt,3000320.0,0.3787926134677857,0.3459566316500623,0.362374622558924,iem_ppo,0.7,True,10.0,0.1,True,True,0.05,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-25_21-06-46-268553_a0227d_seed4_good_shannon,4,3000000,classical_phantom_ttt,3000320.0,0.1996578616122382,0.2230236565548958,0.211340759083567,iem_ppo,0.7,True,10.0,0.1,True,True,0.2,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
